Date,Products,ISIN,Place,Exec Place,Qty,Buying_value,Actual_value,Total_Actual_value_for_day,Total_Buying_value_for_day,Product_pct_in_portfolio_for_day,Value_diff,Percentage_diff
2025-01-19,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1963.800048828125,8737.453422546387,8269.14502,22.47565685169407,124.79998782812504,6.786296013511935
2025-01-20,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1976.9999694824219,20467.08179473877,19944.06641,9.659413048276505,137.99990848242192,7.5040730780281315
2025-01-21,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1980.3999328613281,20639.252700805664,19944.06641,9.595308326178023,141.39987186132817,7.6889541691716214
2025-01-22,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1976.9999694824219,20654.560050964355,19944.06641,9.571736045717016,137.99990848242192,7.5040730780281315
2025-01-23,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,1997.7999877929688,20948.618354797363,19944.06641,9.536667067761345,158.7999267929688,8.635123519605408
2025-01-24,Sanofi,FR0000120578,EPA,EPA,20,1839.000061,2003.2000732421875,20736.957244873047,19944.06641,9.660048239417833,164.20001224218754,8.928766003025574
2025-01-25,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5508.800201416016,24242.557373046875,23452.666537999998,22.723676040634047,161.20001241601585,3.0144365083164573
2025-01-26,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5508.800201416016,24242.557373046875,23452.666537999998,22.723676040634047,161.20001241601585,3.0144365083164573
2025-01-27,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5573.699798583984,23954.43389892578,23452.666537999998,23.26792535403616,226.0996095839846,4.2280574761193055
2025-01-28,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5594.600067138672,24568.3504486084,24033.166537999998,22.771573854098786,246.9998781386721,4.6188920152772495
2025-01-29,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5602.300033569336,24945.533237457275,24033.166537999998,22.45812899744766,254.69984456933616,4.7628812096546245
2025-01-30,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5699.100151062012,25077.168045043945,24033.166537999998,22.72625098984547,351.49996206201195,6.573041170599225
2025-01-31,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5742.00008392334,25227.365398406982,24033.166537999998,22.76099780235445,394.39989492334007,7.375268924079621
2025-02-01,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5742.00008392334,25227.365398406982,24033.166537999998,22.76099780235445,394.39989492334007,7.375268924079621
2025-02-02,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5742.00008392334,25227.365398406982,24033.166537999998,22.76099780235445,394.39989492334007,7.375268924079621
2025-02-03,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5745.299949645996,24782.13918685913,24033.166537999998,23.183228478889642,397.6997606459963,7.436976336863473
2025-02-04,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5647.400016784668,24904.28602218628,24033.166537999998,22.676418074196604,299.7998277846682,5.606249853931782
2025-02-05,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5697.99991607666,24958.340854644775,24033.166537999998,22.830042867277598,350.3997270766604,6.552466801789553
2025-02-06,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5704.600067138672,25693.00811767578,24033.166537999998,22.202927897781386,356.9998781386721,6.675889474179838
2025-02-07,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5684.800033569336,25579.5707321167,24033.166537999998,22.223985277562637,337.19984456933616,6.305629303831566
2025-02-08,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5684.800033569336,25579.5707321167,24033.166537999998,22.223985277562637,337.19984456933616,6.305629303831566
2025-02-09,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5684.800033569336,25579.5707321167,24033.166537999998,22.223985277562637,337.19984456933616,6.305629303831566
2025-02-10,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5709.00016784668,25526.985054016113,24033.166537999998,22.364568928787353,361.3999788466799,6.7581712557733615
2025-02-11,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5700.199966430664,25873.3504486084,24033.166537999998,22.031162828149494,352.5997774306643,6.593607692586315
2025-02-12,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5747.5,36300.32432556152,34395.270148,15.833191870279778,399.8998110000002,7.478117227660235
2025-02-13,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5794.800033569336,36869.32024002075,34395.270148,15.71713282437798,447.19984456933616,8.362626762734154
2025-02-14,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5703.49983215332,37051.28137588501,34395.270148,15.393529239357074,355.89964315332054,6.655315105370166
2025-02-15,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5703.49983215332,42681.281299591064,40028.270072,13.363000496913308,355.89964315332054,6.655315105370166
2025-02-16,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5703.49983215332,42681.281299591064,40028.270072,13.363000496913308,355.89964315332054,6.655315105370166
2025-02-17,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5722.200050354004,43281.691875457764,40028.270072,13.220832648639346,374.59986135400413,7.005008753731349
2025-02-18,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5702.400016784668,43380.00524520874,40028.270072,13.145226665030174,354.7998277846682,6.634748583383077
2025-02-19,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5669.400100708008,42633.802337646484,40028.270072,13.297899295512321,321.79991170800804,6.017650915076817
2025-02-20,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5696.900100708008,42462.97472000122,40028.270072,13.416158755417134,349.29991170800804,6.531900279802463
2025-02-21,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5726.600151062012,42744.29636001587,40028.270072,13.397343362093153,378.99996206201195,7.087290535324872
2025-02-22,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5726.600151062012,42744.29636001587,40028.270072,13.397343362093153,378.99996206201195,7.087290535324872
2025-02-23,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5726.600151062012,42744.29636001587,40028.270072,13.397343362093153,378.99996206201195,7.087290535324872
2025-02-24,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5685.899848937988,42167.77280807495,40028.270072,13.483993747588116,338.2996599379885,6.326195825818655
2025-02-25,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5725.49991607666,50195.836334228516,48204.269889,11.406324377092696,377.8997270766604,7.066716166515199
2025-02-26,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5758.49983215332,51523.90069961548,48204.269889,11.176366218321464,410.89964315332054,7.68381383482146
2025-02-27,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5766.199798583984,50686.499938964844,48204.269889,11.376204325663576,418.5996095839846,7.827803029198835
2025-02-28,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5739.800033569336,51078.348903656006,48204.269889,11.23724661577403,392.19984456933616,7.334128033282859
2025-03-01,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5739.800033569336,85008.34768295288,82139.27866899999,6.752042816990741,392.19984456933616,7.334128033282859
2025-03-02,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5739.800033569336,85008.34768295288,82139.27866899999,6.752042816990741,392.19984456933616,7.334128033282859
2025-03-03,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5922.400016784668,86471.99890136719,82139.27866899999,6.848922300894134,574.7998277846682,10.748743501188253
2025-03-04,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,6011.50016784668,82562.44066238403,82139.27866899999,7.281156079710659,663.8999788466799,12.414914267755478
2025-03-05,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5984.00016784668,85745.30204772949,82139.27866899999,6.97880819699688,636.3999788466799,11.900664903029831
2025-03-06,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,6029.100151062012,86994.65003967285,82139.27866899999,6.9304263518647575,681.499962062012,12.74403354730699
2025-03-07,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,6029.100151062012,85299.55060958862,82139.27866899999,7.06814995855825,681.499962062012,12.74403354730699
2025-03-08,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,6029.100151062012,85299.55060958862,82139.27866899999,7.06814995855825,681.499962062012,12.74403354730699
2025-03-09,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,6029.100151062012,85299.55060958862,82139.27866899999,7.06814995855825,681.499962062012,12.74403354730699
2025-03-10,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,6021.400184631348,82330.8490562439,82139.27866899999,7.313662197893597,673.7999956313479,12.600044352929615
2025-03-11,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5909.200134277344,81149.79913711548,82139.27866899999,7.281841972637309,561.599945277344,10.501906003230264
2025-03-12,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5826.700134277344,82603.50116729736,82139.27866899999,7.0538173950720235,479.099945277344,8.959157909053324
2025-03-13,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5842.100067138672,82118.90142440796,82139.27866899999,7.114196568394718,494.4998781386721,9.247136297808073
2025-03-14,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5842.100067138672,83803.35090637207,82139.27866899999,6.971201036657428,494.4998781386721,9.247136297808073
2025-03-15,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5842.100067138672,83803.35090637207,82139.27866899999,6.971201036657428,494.4998781386721,9.247136297808073
2025-03-16,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5842.100067138672,83803.35090637207,82139.27866899999,6.971201036657428,494.4998781386721,9.247136297808073
2025-03-17,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5913.599815368652,84476.10006332397,82139.27866899999,7.00032294452013,565.9996263686526,10.584179938001206
2025-03-18,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5920.199966430664,85554.75082397461,82139.27866899999,6.919779333600343,572.5997774306643,10.707602610391492
2025-03-19,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5938.900184631348,86017.64862060547,82139.27866899999,6.904281016592086,591.2999956313479,11.057296258752674
2025-03-20,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5840.99983215332,85536.64892196655,82139.27866899999,6.828651701660597,493.39964315332054,9.226561928998402
2025-03-21,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5821.199798583984,84257.70147323608,82139.27866899999,6.908804414078458,473.5996095839846,8.856301758650128
2025-03-22,Sanofi,FR0000120578,EPA,EPA,55,5347.600189,5821.199798583984,84257.70147323608,82139.27866899999,6.908804414078458,473.5996095839846,8.856301758650128
2024-12-05,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1836.0000610351562,1839.000061,0.0,0.0,
2024-12-06,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1843.6000061035156,1839.000061,0.0,0.0,
2024-12-07,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1843.6000061035156,1839.000061,0.0,0.0,
2024-12-08,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1843.6000061035156,1839.000061,0.0,0.0,
2024-12-09,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1836.3999938964844,1839.000061,0.0,0.0,
2024-12-10,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1835.0,1839.000061,0.0,0.0,
2024-12-11,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1825.8000183105469,1839.000061,0.0,0.0,
2024-12-12,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1813.800048828125,1839.000061,0.0,0.0,
2024-12-13,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1783.3999633789062,1839.000061,0.0,0.0,
2024-12-14,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1783.3999633789062,1839.000061,0.0,0.0,
2024-12-15,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1783.3999633789062,1839.000061,0.0,0.0,
2024-12-16,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1776.3999938964844,1839.000061,0.0,0.0,
2024-12-17,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1834.7999572753906,1839.000061,0.0,0.0,
2024-12-18,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1836.0000610351562,1839.000061,0.0,0.0,
2024-12-19,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1830.0,1839.000061,0.0,0.0,
2024-12-20,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1825.5999755859375,1839.000061,0.0,0.0,
2024-12-21,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1825.5999755859375,1839.000061,0.0,0.0,
2024-12-22,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1825.5999755859375,1839.000061,0.0,0.0,
2024-12-23,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1835.5999755859375,1839.000061,0.0,0.0,
2024-12-24,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1835.0,1839.000061,0.0,0.0,
2024-12-25,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1835.0,1839.000061,0.0,0.0,
2024-12-26,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1835.0,1839.000061,0.0,0.0,
2024-12-27,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1865.5999755859375,1839.000061,0.0,0.0,
2024-12-28,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1865.5999755859375,1839.000061,0.0,0.0,
2024-12-29,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1865.5999755859375,1839.000061,0.0,0.0,
2024-12-30,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1862.7999877929688,1839.000061,0.0,0.0,
2024-12-31,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1874.7999572753906,1839.000061,0.0,0.0,
2025-01-01,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1874.7999572753906,1839.000061,0.0,0.0,
2025-01-02,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1886.3999938964844,1839.000061,0.0,0.0,
2025-01-03,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1857.4000549316406,1839.000061,0.0,0.0,
2025-01-04,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,1857.4000549316406,1839.000061,0.0,0.0,
2025-01-05,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,6420.144958496094,6403.744965,0.0,0.0,
2025-01-06,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,6609.8443603515625,6403.744965,0.0,0.0,
2025-01-07,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,6644.881210327148,6403.744965,0.0,0.0,
2025-01-08,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,6641.281204223633,6403.744965,0.0,0.0,
2025-01-09,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,6728.632583618164,6403.744965,0.0,0.0,
2025-01-10,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,6663.532485961914,6403.744965,0.0,0.0,
2025-01-11,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,6663.532485961914,6403.744965,0.0,0.0,
2025-01-12,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,6663.532485961914,6403.744965,0.0,0.0,
2025-01-13,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,6618.486862182617,6403.744965,0.0,0.0,
2025-01-14,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,6602.941207885742,6403.744965,0.0,0.0,
2025-01-15,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,8556.515350341797,8269.14502,0.0,0.0,
2025-01-16,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,8591.355209350586,8269.14502,0.0,0.0,
2025-01-17,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,8737.453422546387,8269.14502,0.0,0.0,
2025-01-18,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,8737.453422546387,8269.14502,0.0,0.0,
2025-01-19,Barclays,GB0031348658,LSE,LSE,0,0.0,0.0,8737.453422546387,8269.14502,0.0,0.0,
2025-01-20,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11671.92138671875,20467.08179473877,19944.06641,57.02777515512305,-3.000003281249519,-0.025696132599394912
2025-01-21,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11835.892333984375,20639.252700805664,19944.06641,57.34651591102596,160.97094398437548,1.3787753990553893
2025-01-22,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11747.90771484375,20654.560050964355,19944.06641,56.87803412832918,72.98632484375048,0.6251547432796075
2025-01-23,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11943.873291015625,20948.618354797363,19944.06641,57.01508848329563,268.9519010156255,2.303672050811346
2025-01-24,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11719.912109375,20736.957244873047,19944.06641,56.51702885326921,44.99071937500048,0.3853620754443511
2025-01-25,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11719.912109375,24242.557373046875,23452.666537999998,48.34437196137285,44.99071937500048,0.3853620754443511
2025-01-26,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11719.912109375,24242.557373046875,23452.666537999998,48.34437196137285,44.99071937500048,0.3853620754443511
2025-01-27,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11533.9453125,23954.43389892578,23452.666537999998,48.14952155065218,-140.97607749999952,-1.207512006211457
2025-01-28,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11571.939697265625,24568.3504486084,24033.166537999998,47.10100387680315,-102.98169273437452,-0.8820761125002703
2025-01-29,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11849.888916015625,24945.533237457275,24033.166537999998,47.50304915599991,174.96752601562548,1.498661277201332
2025-01-30,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11829.892578125,25077.168045043945,24033.166537999998,47.17395742962678,154.97118812500048,1.3273852812211568
2025-01-31,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11877.884521484375,25227.365398406982,24033.166537999998,47.083333253001605,202.96313148437548,1.7384539450365883
2025-02-01,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11877.884521484375,25227.365398406982,24033.166537999998,47.083333253001605,202.96313148437548,1.7384539450365883
2025-02-02,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11877.884521484375,25227.365398406982,24033.166537999998,47.083333253001605,202.96313148437548,1.7384539450365883
2025-02-03,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11619.930419921875,24782.13918685913,24033.166537999998,46.88832684017613,-54.99097007812452,-0.4710179044565243
2025-02-04,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11767.904052734375,24904.28602218628,24033.166537999998,47.25252529725525,92.98266273437548,0.7964307392597826
2025-02-05,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11809.896240234375,24958.340854644775,24033.166537999998,47.31843478304184,134.97485023437548,1.1561092852409816
2025-02-06,Barclays,GB0031348658,LSE,LSE,40,11674.92139,12297.81005859375,25693.00811767578,24033.166537999998,47.8644228899509,622.8886685937505,5.335270772163636
2025-02-07,Barclays,GB0031348658,LSE,LSE,40,11674.92139,12185.830078125,25579.5707321167,24033.166537999998,47.63891546790092,510.9086881250005,4.3761210123659815
2025-02-08,Barclays,GB0031348658,LSE,LSE,40,11674.92139,12185.830078125,25579.5707321167,24033.166537999998,47.63891546790092,510.9086881250005,4.3761210123659815
2025-02-09,Barclays,GB0031348658,LSE,LSE,40,11674.92139,12185.830078125,25579.5707321167,24033.166537999998,47.63891546790092,510.9086881250005,4.3761210123659815
2025-02-10,Barclays,GB0031348658,LSE,LSE,40,11674.92139,12107.84423828125,25526.985054016113,24033.166537999998,47.43154827199754,432.9228482812505,3.70814358246613
2025-02-11,Barclays,GB0031348658,LSE,LSE,40,11674.92139,12255.81787109375,25873.3504486084,24033.166537999998,47.36849947376232,580.8964810937505,4.975592226182437
2025-02-12,Barclays,GB0031348658,LSE,LSE,40,11674.92139,12307.808837890625,36300.32432556152,34395.270148,33.90550653902522,632.8874478906255,5.420913998039566
2025-02-13,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11727.911376953125,36869.32024002075,34395.270148,31.809404948623822,52.98998695312548,0.4538787472994324
2025-02-14,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11781.90185546875,37051.28137588501,34395.270148,31.798905241471765,106.98046546875048,0.9163270731774108
2025-02-15,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11781.90185546875,42681.281299591064,40028.270072,27.604377133780268,106.98046546875048,0.9163270731774108
2025-02-16,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11781.90185546875,42681.281299591064,40028.270072,27.604377133780268,106.98046546875048,0.9163270731774108
2025-02-17,Barclays,GB0031348658,LSE,LSE,40,11674.92139,12173.831787109375,43281.691875457764,40028.270072,28.12697761940393,498.9103971093755,4.273351232469202
2025-02-18,Barclays,GB0031348658,LSE,LSE,40,11674.92139,12325.8056640625,43380.00524520874,40028.270072,28.413564254752753,650.8842740625005,5.5750634399988925
2025-02-19,Barclays,GB0031348658,LSE,LSE,40,11674.92139,12235.821533203125,42633.802337646484,40028.270072,28.69981297070155,560.9001432031255,4.804316230202262
2025-02-20,Barclays,GB0031348658,LSE,LSE,40,11674.92139,11933.87451171875,42462.97472000122,40028.270072,28.104188626468435,258.9531217187505,2.2180288249354154
2025-02-21,Barclays,GB0031348658,LSE,LSE,40,11674.92139,12149.83642578125,42744.29636001587,40028.270072,28.424462350365236,474.9150357812505,4.067822128447329
